name_2020,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Aberdeen, SD Micro Area",-92,42864,10.33,4.89,4.37,1.12,0.48,0.56,32.22,19.4,15.3,15.1,5.5,62042,81004
"Aberdeen, WA Micro Area",439,73769,9.37,4.27,2.88,0.3,0.53,0.62,29.84,18.7,13.6,12.4,3.8,50665,66796
"Abilene, TX Metro Area",2134,171354,13.1,5.09,6.3,1.06,0.49,0.65,26.05,19,13.2,13.8,5,54857,72694
"Ada, OK Micro Area",-214,38385,10.77,4.97,6.36,0.93,0.81,0.4,24.56,17.3,12,14.9,4.2,51682,68283
"Adrian, MI Micro Area",220,98310,9.53,5.53,5.62,0.61,0.49,0.83,29.48,19.7,14.6,14.3,4.5,57314,71947
"Aguadilla-Isabela, PR Metro Area",0,295172,9.3,4.9,5.81,0.72,0.54,0.68,15.57,7.9,2.7,1.6,0.4,16744,25897
"Akron, OH Metro Area",514,703286,10.14,4.75,5.98,1.43,0.88,1.69,31.75,18.1,13.9,14.4,5.6,59313,80601
"Alamogordo, NM Micro Area",942,66804,13.34,5.47,4.39,0.94,0.6,1.1,25.91,18.5,11.8,9.4,3.4,45032,64127
"Albany-Lebanon, OR Metro Area",33,127216,9.68,4.98,3.49,0.89,0.56,0.81,29.89,20.6,14.1,15.9,4.4,59547,71370
"Albany-Schenectady-Troy, NY Metro Area",2810,880766,10.4,4.73,6.44,1.65,1.54,2.3,32.9,17,13.5,18.7,8.5,72810,93501
"Albany, GA Metro Area",97,147431,9.84,5.75,6.98,1.13,0.56,0.32,25.85,18.3,10.9,11.7,3.1,46323,61353
"Albemarle, NC Micro Area",231,62050,9.6,5.01,4.25,0.52,0.48,0.47,27.23,20.2,14.1,13.2,3.9,54104,69698
"Albert Lea, MN Micro Area",-99,30465,7.87,5.34,2.87,0.71,0.36,0.51,30.43,20.5,13.8,12.8,4.5,54628,70457
"Albertville, AL Micro Area",286,96137,9.3,5.85,3.85,0.64,0.63,1.21,24.37,18.9,11.8,12.1,3.3,50216,68303
"Albuquerque, NM Metro Area",-1630,915986,10.53,5.18,5.66,1.72,0.9,2.04,29.98,18.2,12.7,13.7,5.2,55370,74226
"Alexander City, AL Micro Area",265,51146,7.82,3.81,2.37,0.54,0.18,0.76,26,20.2,11.1,9.9,3.5,47213,60213
"Alexandria, LA Metro Area",5,152715,10.37,5.86,4.58,0.81,0.34,0.59,24.84,15.8,10.8,13.4,4.2,48294,68849
"Alexandria, MN Micro Area",-248,37820,8.85,4.44,3.54,0.7,0.85,1.07,34.55,20.5,15.3,16.6,5.9,65430,83324
"Alice, TX Micro Area",-432,51990,10.21,6.79,3.18,1.09,0.32,0.58,18.41,15.6,11,12.5,4.4,45699,62542
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1965,841265,9.52,5.23,5.11,1.15,0.94,1.91,30.17,17.5,13.7,17.7,7.8,69769,91520
"Alma, MI Micro Area",41,40692,12.21,4.55,7.21,0.66,0.31,0.56,26.02,20.4,12.1,11.4,3,49795,67009
"Alpena, MI Micro Area",-365,28431,8.02,5.28,2.53,0.43,0.46,1.08,31.65,15.3,11.5,11.3,2.5,42603,57284
"Altoona, PA Metro Area",48,122495,8.96,4.79,3.58,0.69,0.31,0.83,29.82,18.2,12.9,12.9,3.7,50856,67949
"Altus, OK Micro Area",21,24808,12.25,5.51,4.95,0.69,0.46,0.61,27.88,19.2,13.7,11.8,4.5,52535,67331
"Amarillo, TX Metro Area",-729,264345,10.88,5.4,5.21,1.04,0.53,0.84,26.77,18.5,12.8,13.9,5.1,56055,76804
"Americus, GA Micro Area",38,34929,10.3,4.74,9.6,1.23,0.21,0.88,23.31,15.8,11.2,9.8,2.8,39068,55508
"Ames, IA Metro Area",-1168,123736,17.86,3.56,21.23,3.71,1.22,2.28,33.6,18.3,12.4,17,5.3,60442,78648
"Amsterdam, NY Micro Area",314,49294,9.26,5.14,3.04,0.89,0.88,0.51,27.42,17.8,10.4,14.6,4.7,50146,67109
"Anchorage, AK Metro Area",-325,399450,12.67,5.48,5.12,1.23,0.82,1.78,29.22,17.9,14,20.1,10.6,82890,105130
"Andrews, TX Micro Area",154,18227,10.82,6.86,5.14,0.18,0.13,0.18,21.64,14.7,16.1,17.6,8.2,75147,94468
"Angola, IN Micro Area",-263,34591,9.83,5.76,5.25,0.41,0.63,1.4,30.89,21.7,14.4,15.6,4.3,58905,75138
"Ann Arbor, MI Metro Area",3024,368385,14.11,4.69,13.54,5.16,2.13,4.75,33.99,15.5,13,16.7,9,75730,104918
"Anniston-Oxford, AL Metro Area",-727,114324,9.64,4.76,5.7,0.83,0.36,0.59,26.78,19.2,12.2,12.9,3.3,50128,65276
"Appleton, WI Metro Area",-1506,236834,9.76,5.68,4.59,0.76,0.79,1.5,32.49,19.6,15.3,19,7.1,70261,87362
"Arcadia, FL Micro Area",411,37371,12.97,5.07,2.37,0.14,0.15,0.37,18.65,17.1,8.2,6.7,1.6,36360,47349
"Ardmore, OK Micro Area",-446,58508,9.55,5.44,2.81,1.23,0.43,0.63,22.73,19.1,12.7,12.2,4.9,51554,67275
"Arecibo, PR Metro Area",0,177570,9.47,4.66,5.83,1.08,0.43,0.83,15.91,9.4,3.2,1.6,0.3,18917,27362
"Arkadelphia, AR Micro Area",-78,22341,12.85,3.65,16.75,0.74,0.35,0.27,23.29,15.4,12.9,10.8,1.5,39500,55359
"Asheville, NC Metro Area",1789,459344,8.69,4.44,4.38,0.86,0.98,1.36,30.79,18.7,13,12.9,4.9,54992,75637
"Ashland, OH Micro Area",80,53533,9.17,4.86,6.3,0.67,0.36,0.41,27.85,20.6,16,13.1,3.6,55422,69805
"Ashtabula, OH Micro Area",-152,97416,9.19,5.14,2.82,0.68,0.33,0.44,27.17,21.2,11.8,9.8,3,47925,61632
"Astoria, OR Micro Area",-437,39656,9.05,4.43,3.91,0.51,0.47,0.83,32.62,18.2,14.2,16,4.8,57466,73880
